"user_id","designation_id"
"62","4"
"71","44"
"119","38"
"167","56"
"187","19"
"267","54"
"354","54"
"648","22"
"754","5"
"803","54"
"1405","22"
"1463","4"
"1464","54"
"1544","62"
"1603","54"
"2263","26"
"2439","69"
"2782","74"
"2790","54"
"2792","69"
"2819","69"
"2830","21"
"2990","21"
"3136","69"
"3333","69"
"3386","21"
"4669","12"
"4670","12"
"4700","21"
"4701","21"
"4820","22"
"4821","69"
"4822","12"
"5083","69"
"5437","23"
"5567","38"
"5633","69"
"5641","21"
"6338","4"
"6421","22"
"6471","22"
"6512","22"
"6632","69"
"7182","22"
"7956","21"
"8360","21"
"8683","21"
"8884","21"
"8963","21"
"9159","21"
"9160","85"
"9250","21"
"9564","21"
"10976","22"
"11143","38"
"11934","22"
"12243","22"
"12820","22"
"12821","54"
"12916","54"
"12917","22"
"13656","22"
"13657","22"
"13658","54"
"13885","69"
"14000","21"
"14461","22"
"14462","54"
